long,lat,coord_x,coord_y
-58.4553307721,-34.6783500579, AV. - ROCA, CNEL.
-58.4552207743,-34.678426132, AV. - ROCA, CNEL.
-58.45521816229999,-34.678350051, AV. - ROCA, CNEL.
-58.4550238238,-34.678343728899996, AV. - ROCA, CNEL.
-58.454849889799995,-34.678343717800004, AV. - ROCA, CNEL.
-58.4535990059,-34.6809296568, AV. - ROCA, CNEL.
-58.453420056700004,-34.6808408523, AV. - ROCA, CNEL.
-58.4533279617,-34.6808112783, AV. - ROCA, CNEL.
-58.465728642200006,-34.6668666268, FRANCISCO," Gral. Av."""
-58.4657151097,-34.666761970799996, FRANCISCO," Gral. Av."""
-58.4657060571,-34.666844271799995, FRANCISCO," Gral. Av."""
-58.4657060559,-34.666810558200005, FRANCISCO," Gral. Av."""
-58.4657037671,-34.666877895300004, FRANCISCO," Gral. Av."""
-58.4656924152,-34.6667320437, FRANCISCO," Gral. Av."""
-58.4656856526,-34.6667825242, FRANCISCO," Gral. Av."""
-58.46568565,-34.6667077052, FRANCISCO," Gral. Av."""
-58.4656765996,-34.6668535573, FRANCISCO," Gral. Av."""
-58.465665245100006,-34.666632886799995, FRANCISCO," Gral. Av."""
-58.4656629604,-34.666814345300004, FRANCISCO," Gral. Av."""
-58.465660776499995,-34.6667619721, FRANCISCO," Gral. Av."""
-58.465658483599995,-34.6667151878, FRANCISCO," Gral. Av."""
-58.465658481999995,-34.6666684034, FRANCISCO," Gral. Av."""
-58.4656494323,-34.6668330053, FRANCISCO," Gral. Av."""
-58.4656471378,-34.6667376337, FRANCISCO," Gral. Av."""
-58.4656336037,-34.6665861933, FRANCISCO," Gral. Av."""
-58.4656245558,-34.6668030783, FRANCISCO," Gral. Av."""
-58.4656245493,-34.6666179239, FRANCISCO," Gral. Av."""
-58.465622260699995,-34.6666908499, FRANCISCO," Gral. Av."""
-58.4656177858,-34.6666441558, FRANCISCO," Gral. Av."""
-58.4656154991,-34.6667712579, FRANCISCO," Gral. Av."""
-58.465599678400004,-34.6667470098, FRANCISCO," Gral. Av."""
-58.465595095,-34.6667151893, FRANCISCO," Gral. Av."""
-58.4655883329,-34.6667825265, FRANCISCO," Gral. Av."""
-58.4655883264,-34.6665936763, FRANCISCO," Gral. Av."""
-58.46558603810001,-34.66667778, FRANCISCO," Gral. Av."""
-58.465583745,-34.6666198179, FRANCISCO," Gral. Av."""
-58.4655746904,-34.6666478527, FRANCISCO," Gral. Av."""
-58.4655656323,-34.6665712311, FRANCISCO," Gral. Av."""
-58.46554305350001,-34.6667301543, FRANCISCO," Gral. Av."""
-58.465543051400005,-34.6666702991, FRANCISCO," Gral. Av."""
-58.465540758500005,-34.6666179259, FRANCISCO," Gral. Av."""
-58.4655272323,-34.6666927452, FRANCISCO," Gral. Av."""
-58.4655272283,-34.6665749279, FRANCISCO," Gral. Av."""
-58.4655181754,-34.6666516401, FRANCISCO," Gral. Av."""
-58.4655091168,-34.666559964499996, FRANCISCO," Gral. Av."""
-58.4655068266,-34.6665898921, FRANCISCO," Gral. Av."""
-58.4654954812,-34.666625408899996, FRANCISCO," Gral. Av."""
-58.4654910101,-34.6666890502, FRANCISCO," Gral. Av."""
-58.4654728958,-34.6665917859, FRANCISCO," Gral. Av."""
-58.4654683125,-34.666561858499996, FRANCISCO," Gral. Av."""
-58.465466133599996,-34.6666572301, FRANCISCO," Gral. Av."""
-58.46546155,-34.6666179277, FRANCISCO," Gral. Av."""
-58.4654615477,-34.666548787800004, FRANCISCO," Gral. Av."""
-58.4654434403,-34.6666572306, FRANCISCO," Gral. Av."""
-58.4654366735,-34.6665824118, FRANCISCO," Gral. Av."""
-58.4654343842,-34.6666385712, FRANCISCO," Gral. Av."""
-58.4654253262,-34.666565555300004, FRANCISCO," Gral. Av."""
-58.4654253254,-34.6665394137, FRANCISCO," Gral. Av."""
-58.4654162719,-34.6666011621, FRANCISCO," Gral. Av."""
-58.4654095072,-34.666591787399994, FRANCISCO," Gral. Av."""
-58.4654072145,-34.66654311, FRANCISCO," Gral. Av."""
-58.4654004529,-34.666627304, FRANCISCO," Gral. Av."""
-58.465400451,-34.6665693419, FRANCISCO," Gral. Av."""
-58.4653846322,-34.6666011628, FRANCISCO," Gral. Av."""
-58.465384630100004,-34.6665375216, FRANCISCO," Gral. Av."""
-58.465370993,-34.6665599676, FRANCISCO," Gral. Av."""
-58.4653687029,-34.666591788299996, FRANCISCO," Gral. Av."""
-58.4653574633,-34.6665300403, FRANCISCO," Gral. Av."""
-58.4653528812,-34.6665338264, FRANCISCO," Gral. Av."""
-58.465346117399996,-34.6665524863, FRANCISCO," Gral. Av."""
-58.465339353500006,-34.6665674502, FRANCISCO," Gral. Av."""
-58.4653257145,-34.6665282382, FRANCISCO," Gral. Av."""
-58.46532124189999,-34.6665487909, FRANCISCO," Gral. Av."""
-58.465300839399994,-34.6665375234, FRANCISCO," Gral. Av."""
-58.468381227399995,-34.664770249, FRANCISCO," Gral. Av."""
-58.4683450095,-34.664820730900004, FRANCISCO," Gral. Av."""
-58.4683291938,-34.6648768008, FRANCISCO," Gral. Av."""
-58.4683132575,-34.6647627702, FRANCISCO," Gral. Av."""
-58.4682318732,-34.664830111, FRANCISCO," Gral. Av."""
-58.468224990699994,-34.6646916512, FRANCISCO," Gral. Av."""
-58.4681910738,-34.6648917709, FRANCISCO," Gral. Av."""
-58.4681887746,-34.6647683648, FRANCISCO," Gral. Av."""
-58.4681390191,-34.6646804772, FRANCISCO," Gral. Av."""
-58.4681322638,-34.6648169546, FRANCISCO," Gral. Av."""
-58.46812997520001,-34.6648543642, FRANCISCO," Gral. Av."""
-58.4680937484,-34.664770262, FRANCISCO," Gral. Av."""
-58.4680779328,-34.6648301179, FRANCISCO," Gral. Av."""
-58.4680530499,-34.6647048198, FRANCISCO," Gral. Av."""
-58.4680099595,-34.6647702657, FRANCISCO," Gral. Av."""
-58.4679534391,-34.664667414600004, FRANCISCO," Gral. Av."""
-58.4678968216,-34.6647534138, FRANCISCO," Gral. Av."""
-58.4678584121,-34.6646524549, FRANCISCO," Gral. Av."""
-58.4678424861,-34.6646954539, FRANCISCO," Gral. Av."""
-58.4640981721,-34.6647151154, FRANCISCO," Gral. Av."""
-58.4640405672,-34.6647132231, FRANCISCO," Gral. Av."""
